worker_id,worker_name,role_name,work_type,gross_salary,pension_deduct,health_deduct,other_deductions,working_days,days_present,days_absent,days_present_ratio,checkin_time_std_dev,gps_boundary_score,device_shared_count,impossible_travel_count,peer_checkin_correlation,bank_change_velocity,completeness_score,deduction_ratio,login_to_checkin_gap,device_id,bank_account,verdict_label,is_ghost
W00317,Ifeoma Nwosu,Operations Manager,ONSITE,450000,34953.41,16943.93,16952.66,22,20,2,0.909,17.292,0.149,2,0,0.588,0.111,0.897,0.153,5.003,DEV-45625,3685307830,VERIFIED,0
W00409,Kemi Okafor,HR Officer,HYBRID,250000,18584.95,6736.36,13928.69,22,14,8,0.636,19.246,0.144,1,0,0.242,0.139,0.924,0.157,11.062,DEV-29937,6016315187,VERIFIED,0
W00491,Ngozi Adebayo,IT Admin,HYBRID,300000,16888.25,7508.92,9202.83,22,21,1,0.955,18.685,0.311,0,0,0.387,0.038,0.969,0.112,36.597,DEV-46201,8183357148,VERIFIED,0
W00492,Kemi Eze,Accountant,HYBRID,280000,8585.6,3540.11,6914.29,22,11,11,0.5,6.704,0.516,2,1,0.812,0.488,0.676,0.068,95.17,DEV-31436,9572719574,SUSPICIOUS,0
W00281,Sadiq Ogunleye,Security Officer,ONSITE,120000,4746.52,1295.24,1278.24,22,12,10,0.545,4.275,0.276,1,0,0.691,0.449,0.716,0.061,168.66,DEV-45029,7767756218,SUSPICIOUS,0
W00357,Efe Balogun,Security Officer,ONSITE,120000,9752.76,2048.48,4398.76,22,14,8,0.636,21.699,0.061,0,0,0.147,0.0,0.964,0.135,1.0,DEV-64522,8011608307,VERIFIED,0
W00077,Ifeoma Okafor,Customer Support,REMOTE,180000,9544.81,4126.43,2888.76,22,15,7,0.682,13.76,0.192,2,0,0.56,0.175,0.937,0.092,1.0,DEV-99469,5872477818,VERIFIED,0
W00462,Amina Ogunleye,Customer Support,REMOTE,180000,781.81,192.86,465.33,22,3,19,0.136,1.708,0.857,4,0,0.894,0.591,0.209,0.008,101.694,DEV-46838,0530181934,FLAGGED,1
W00498,Efe Okonkwo,Cleaner,ONSITE,90000,3256.79,1621.19,1152.02,22,9,13,0.409,12.0,0.331,2,1,0.746,0.463,0.293,0.067,66.539,DEV-49092,7520895010,SUSPICIOUS,0
W00212,Ifeoma Eze,Operations Manager,ONSITE,450000,2517.97,794.31,737.72,22,5,17,0.227,0.912,0.717,5,1,1.0,1.239,0.597,0.009,93.906,DEV-63629,6430553837,FLAGGED,1
W00102,Kemi Ogunleye,Cleaner,ONSITE,90000,4555.45,1401.8,612.75,22,15,7,0.682,22.459,0.208,1,1,0.315,0.079,0.802,0.073,16.751,DEV-36898,1303136027,VERIFIED,0
W00335,Ifeoma Okafor,Cleaner,ONSITE,90000,1296.09,763.36,640.55,22,17,5,0.773,19.703,0.0,0,1,0.494,0.101,0.741,0.03,19.971,DEV-74022,8293825173,VERIFIED,0
W00476,Tunde Eze,Engineer,HYBRID,320000,21678.24,12998.29,4363.47,22,17,5,0.773,19.0,0.028,0,1,0.488,0.276,0.881,0.122,28.808,DEV-19004,2307467418,VERIFIED,0
W00337,Tunde Abubakar,Customer Support,REMOTE,180000,8478.88,2307.01,5594.11,22,14,8,0.636,8.0,0.062,1,0,0.606,0.092,0.726,0.091,23.542,DEV-94340,3337322405,VERIFIED,0
W00441,Ngozi Usman,Cleaner,ONSITE,90000,2920.71,1658.71,640.58,22,10,12,0.455,8.298,0.107,3,1,0.845,0.12,0.511,0.058,107.489,DEV-46838,9111190680,SUSPICIOUS,0
W00174,Efe Adebayo,Cleaner,ONSITE,90000,3608.04,2023.91,1748.05,22,15,7,0.682,28.247,0.109,0,0,0.533,0.025,0.722,0.082,4.114,DEV-38037,6740242617,VERIFIED,0
W00003,Ibrahim Eze,Engineer,HYBRID,320000,14506.75,5116.19,5017.06,22,15,7,0.682,8.0,0.092,1,0,0.462,0.0,0.787,0.077,35.329,DEV-51346,7865481257,VERIFIED,0
W00334,Chukwuemeka Usman,Security Officer,ONSITE,120000,3309.11,1598.9,1811.99,22,15,7,0.682,16.945,0.222,2,0,0.421,0.058,0.9,0.056,11.923,DEV-52637,8035433932,VERIFIED,0
W00410,Temitope Abubakar,Security Officer,ONSITE,120000,6035.83,2290.58,3073.59,22,16,6,0.727,14.525,0.0,1,1,0.494,0.0,0.971,0.095,4.051,DEV-97315,1094822029,VERIFIED,0
W00071,Ifeoma Usman,Engineer,HYBRID,320000,10317.47,4714.1,3208.43,22,11,11,0.5,8.728,0.251,2,2,0.818,0.675,0.655,0.057,92.512,DEV-63629,9932806679,SUSPICIOUS,0
W00210,Ngozi Okafor,Cleaner,ONSITE,90000,5665.72,1875.23,1729.05,22,20,2,0.909,22.906,0.11,1,1,0.509,0.214,0.974,0.103,18.953,DEV-61749,7812514099,VERIFIED,0
W00064,Kemi Nwosu,IT Admin,HYBRID,300000,1122.34,507.83,469.83,22,12,10,0.545,6.038,0.246,0,2,0.852,0.309,0.85,0.007,31.593,DEV-77554,0965305662,SUSPICIOUS,0
W00385,Ngozi Usman,HR Officer,HYBRID,250000,3773.65,883.9,2342.45,22,6,16,0.273,5.468,0.544,2,4,0.878,1.263,0.0,0.028,318.742,DEV-11885,7749985509,FLAGGED,1
W00094,Kemi Ogunleye,Engineer,HYBRID,320000,21740.3,6651.44,15448.26,22,16,6,0.727,16.31,0.222,0,1,0.469,0.089,0.871,0.137,1.0,DEV-45481,1124322937,VERIFIED,0
W00486,Amina Eze,Cleaner,ONSITE,90000,7589.98,3628.13,31.89,22,15,7,0.682,25.159,0.284,0,0,0.8,0.135,0.986,0.125,33.635,DEV-94301,4586761479,VERIFIED,0
W00186,Ifeoma Abubakar,Accountant,HYBRID,280000,19940.89,9283.76,175.35,22,20,2,0.909,19.937,0.0,2,0,0.261,0.016,0.837,0.105,23.003,DEV-77503,0928533256,VERIFIED,0
W00034,Ifeoma Okafor,Operations Manager,ONSITE,450000,6463.94,4338.0,3148.06,22,5,17,0.227,6.0,0.372,2,1,0.927,0.697,0.416,0.031,45.0,DEV-31436,5983386067,FLAGGED,1
W00078,Temitope Balogun,IT Admin,HYBRID,300000,18520.57,8988.87,11490.56,22,16,6,0.727,13.102,0.132,0,0,0.788,0.055,0.857,0.13,1.0,DEV-95610,8766126036,VERIFIED,0
W00001,Temitope Okonkwo,Engineer,HYBRID,320000,17855.22,5119.52,7105.26,22,18,4,0.818,8.899,0.045,0,0,0.524,0.129,0.844,0.094,24.878,DEV-56204,2831216428,VERIFIED,0
W00012,Ngozi Okonkwo,Engineer,HYBRID,320000,5860.79,2738.26,3880.95,22,19,3,0.864,17.368,0.165,1,0,0.493,0.211,0.914,0.039,15.52,DEV-81668,1501425563,VERIFIED,0
W00416,Kemi Etuk,Accountant,HYBRID,280000,10777.54,4559.07,8183.39,22,16,6,0.727,9.568,0.174,0,0,0.41,0.181,0.802,0.084,20.264,DEV-75523,6269349043,VERIFIED,0
W00023,Tunde Abubakar,Engineer,HYBRID,320000,3278.08,1068.08,1413.84,22,11,11,0.5,9.746,0.372,2,0,0.762,0.559,0.564,0.018,37.466,DEV-45625,6460811600,SUSPICIOUS,0
W00073,Kemi Usman,Engineer,HYBRID,320000,28324.76,10293.71,3941.53,22,17,5,0.773,20.014,0.035,0,0,0.196,0.263,0.804,0.133,21.576,DEV-23945,0409200723,VERIFIED,0
W00183,Tunde Balogun,Cleaner,ONSITE,90000,4975.48,2302.0,1452.52,22,11,11,0.5,23.324,0.022,2,0,0.8,0.274,0.955,0.097,16.818,DEV-38848,3842212109,VERIFIED,0
W00132,Chukwuemeka Nwosu,Security Officer,ONSITE,120000,12970.08,4274.17,1955.75,22,20,2,0.909,12.238,0.214,0,0,0.499,0.069,0.952,0.16,23.317,DEV-78323,4956843685,VERIFIED,0
W00411,Kemi Nwosu,Accountant,HYBRID,280000,6571.28,2656.74,1411.98,22,4,18,0.182,3.868,0.521,1,1,0.772,0.502,0.245,0.038,45.0,DEV-61088,4375023984,FLAGGED,1
W00194,Kemi Adebayo,Customer Support,REMOTE,180000,12492.77,6565.41,2541.82,22,20,2,0.909,17.382,0.231,0,0,0.446,0.0,0.757,0.12,1.0,DEV-77129,2845155295,VERIFIED,0
W00056,Amina Balogun,IT Admin,HYBRID,300000,1025.88,343.69,130.43,22,10,12,0.455,2.0,0.574,1,0,0.879,0.892,0.587,0.005,145.53,DEV-46669,4268223346,SUSPICIOUS,0
W00149,Tunde Adebayo,HR Officer,HYBRID,250000,16988.05,5628.86,9383.09,22,16,6,0.727,15.771,0.22,1,0,0.568,0.132,0.803,0.128,21.39,DEV-66610,2477368101,VERIFIED,0
W00019,Amina Eze,Customer Support,REMOTE,180000,8934.5,5019.3,3506.2,22,10,12,0.455,24.792,0.245,1,0,0.523,0.288,0.727,0.097,1.0,DEV-34859,7748269151,VERIFIED,0
W00205,Temitope Okonkwo,IT Admin,HYBRID,300000,15151.55,4185.16,5263.29,22,16,6,0.727,27.607,0.18,0,0,0.686,0.0,1.0,0.082,19.43,DEV-33650,7775347488,VERIFIED,0
W00079,Chukwuemeka Ogunleye,Customer Support,REMOTE,180000,16734.43,8540.86,1724.71,22,16,6,0.727,8.312,0.263,2,1,0.197,0.02,0.809,0.15,21.657,DEV-63629,6410600526,VERIFIED,0
W00495,Ibrahim Eze,IT Admin,HYBRID,300000,24300.41,13281.61,8917.98,22,15,7,0.682,22.727,0.007,0,0,0.798,0.204,0.875,0.155,5.586,DEV-49505,3833055748,VERIFIED,0
W00263,Ibrahim Ogunleye,HR Officer,HYBRID,250000,12974.82,4118.21,9906.97,22,17,5,0.773,18.469,0.122,0,0,0.341,0.157,0.716,0.108,19.404,DEV-64695,5514207586,VERIFIED,0
W00324,Tunde Balogun,Engineer,HYBRID,320000,8725.03,2440.48,1634.49,22,15,7,0.682,13.753,0.074,0,0,0.096,0.063,0.938,0.04,17.053,DEV-31890,1148730290,VERIFIED,0
W00484,Chukwuemeka Nwosu,HR Officer,HYBRID,250000,10486.77,6364.61,4898.62,22,15,7,0.682,26.52,0.162,0,0,0.445,0.246,0.793,0.087,29.894,DEV-93952,2094980577,VERIFIED,0
W00080,Chukwuemeka Ogunleye,HR Officer,HYBRID,250000,16517.03,7680.62,11302.35,22,19,3,0.864,8.0,0.224,0,0,0.321,0.177,1.0,0.142,7.755,DEV-21696,6922864587,VERIFIED,0
W00040,Ifeoma Abubakar,Operations Manager,ONSITE,450000,18660.95,8728.42,0.0,22,17,5,0.773,18.068,0.146,0,0,0.255,0.164,0.857,0.06,33.035,DEV-62053,0144024141,VERIFIED,0
W00452,Temitope Okonkwo,Customer Support,REMOTE,180000,4743.63,1446.64,1189.73,22,9,13,0.409,6.085,0.75,0,1,0.72,0.818,0.392,0.041,33.057,DEV-66807,4728366964,SUSPICIOUS,0
W00047,Amina Balogun,Cleaner,ONSITE,90000,2859.63,1178.26,282.11,22,11,11,0.5,20.265,0.133,1,1,0.416,0.276,0.972,0.048,29.366,DEV-66491,8743088941,VERIFIED,0
W00239,Ifeoma Okonkwo,Cleaner,ONSITE,90000,936.93,272.24,410.83,22,2,20,0.091,4.043,0.611,2,4,0.892,1.07,0.308,0.018,45.0,DEV-49092,4375023984,FLAGGED,1
W00392,Amina Balogun,HR Officer,HYBRID,250000,16530.54,7676.04,7543.42,22,13,9,0.591,12.304,0.038,1,0,0.8,0.45,0.723,0.127,28.897,DEV-65923,1743816231,VERIFIED,0
W00353,Kemi Adebayo,Accountant,HYBRID,280000,4504.26,1378.5,3077.24,22,11,11,0.5,1.283,0.879,2,4,0.88,0.52,0.416,0.032,118.073,DEV-63629,5983386067,FLAGGED,1
W00342,Ifeoma Okonkwo,IT Admin,HYBRID,300000,7949.67,5845.69,3004.64,22,10,12,0.455,15.277,0.0,0,0,0.484,0.177,0.624,0.056,23.899,DEV-94066,2381605373,VERIFIED,0
W00278,Temitope Balogun,Operations Manager,ONSITE,450000,30722.61,13176.76,16400.63,22,15,7,0.682,22.436,0.187,0,0,0.751,0.158,0.926,0.134,18.645,DEV-54527,6299013139,VERIFIED,0
W00291,Ngozi Abubakar,HR Officer,HYBRID,250000,14276.96,5799.62,7423.42,22,17,5,0.773,23.398,0.304,2,1,0.224,0.332,0.881,0.11,30.634,DEV-63629,5083507305,VERIFIED,0
W00318,Sadiq Ogunleye,Customer Support,REMOTE,180000,2297.2,685.66,617.14,22,17,5,0.773,21.926,0.095,0,0,0.6,0.144,0.694,0.02,20.596,DEV-70768,8295705990,VERIFIED,0
W00305,Sadiq Okafor,IT Admin,HYBRID,300000,9245.23,2631.15,7623.62,22,13,9,0.591,11.688,0.203,1,0,0.599,0.183,0.813,0.065,31.492,DEV-61361,1814461217,VERIFIED,0
W00269,Amina Balogun,Cleaner,ONSITE,90000,6060.9,2722.99,846.11,22,19,3,0.864,30.0,0.337,0,0,0.189,0.45,0.913,0.107,42.136,DEV-31956,9035027111,VERIFIED,0
W00070,Kemi Balogun,Engineer,HYBRID,320000,18688.85,9819.17,3171.98,22,17,5,0.773,21.479,0.0,0,1,0.382,0.207,0.809,0.099,28.285,DEV-21044,8928373464,VERIFIED,0
W00456,Ngozi Nwosu,Customer Support,REMOTE,180000,6671.94,2624.16,1503.9,22,11,11,0.5,12.925,0.32,0,0,0.31,0.133,0.587,0.06,13.901,DEV-26436,4121484059,VERIFIED,0
W00466,Ibrahim Etuk,Security Officer,ONSITE,120000,3897.17,860.76,1482.07,22,11,11,0.5,9.001,0.523,1,1,0.766,0.292,0.626,0.052,52.148,DEV-69546,7010612010,SUSPICIOUS,0
W00155,Kemi Etuk,Security Officer,ONSITE,120000,7532.56,2786.22,2401.22,22,14,8,0.636,28.956,0.35,1,0,0.315,0.135,0.712,0.106,16.152,DEV-76847,5102418041,VERIFIED,0
W00083,Amina Adebayo,IT Admin,HYBRID,300000,26030.33,12105.9,563.77,22,16,6,0.727,13.033,0.0,2,0,0.406,0.228,0.643,0.129,35.238,DEV-46838,6992716036,VERIFIED,0
W00478,Temitope Ogunleye,Customer Support,REMOTE,180000,12768.76,7746.84,6664.4,22,14,8,0.636,30.0,0.177,1,0,0.262,0.0,0.962,0.151,12.597,DEV-67293,5540013759,VERIFIED,0
W00173,Efe Okonkwo,Security Officer,ONSITE,120000,3104.98,1496.07,1278.95,22,5,17,0.227,12.0,0.451,2,2,0.795,0.449,0.85,0.049,145.77,DEV-38848,7297021038,SUSPICIOUS,0
W00322,Tunde Abubakar,Operations Manager,ONSITE,450000,0.0,0.0,0.0,22,9,13,0.409,3.436,0.778,4,1,0.923,0.832,0.091,0.0,136.786,DEV-31436,0530181934,FLAGGED,1
W00091,Efe Etuk,Operations Manager,ONSITE,450000,0.0,0.0,0.0,22,2,20,0.091,3.625,0.562,1,2,0.966,0.721,0.274,0.0,328.91,DEV-13865,0530181934,FLAGGED,1
W00181,Ifeoma Nwosu,Cleaner,ONSITE,90000,0.0,0.0,0.0,22,7,15,0.318,5.931,0.506,5,0,0.881,1.053,0.232,0.0,45.0,DEV-38848,5911814549,FLAGGED,1
W00415,Ibrahim Usman,Customer Support,REMOTE,180000,4391.82,2183.37,0.0,22,9,13,0.409,7.774,0.308,1,0,0.724,0.716,0.426,0.035,60.438,DEV-50395,2672428899,SUSPICIOUS,0
W00313,Ngozi Balogun,HR Officer,HYBRID,250000,16847.13,4077.64,7825.23,22,16,6,0.727,22.394,0.155,0,0,0.479,0.083,0.851,0.115,33.342,DEV-96545,5970604931,VERIFIED,0
W00279,Kemi Abubakar,Accountant,HYBRID,280000,16661.52,4169.72,15848.76,22,15,7,0.682,16.717,0.204,1,0,0.679,0.083,0.814,0.131,17.152,DEV-53089,0540038040,VERIFIED,0
W00382,Tunde Etuk,HR Officer,HYBRID,250000,15509.76,5408.32,9831.92,22,12,10,0.545,8.0,0.0,0,1,0.474,0.218,0.953,0.123,14.625,DEV-60478,1403752621,VERIFIED,0
W00473,Tunde Adebayo,Engineer,HYBRID,320000,33717.95,8098.34,6823.71,22,19,3,0.864,21.496,0.091,0,0,0.484,0.0,1.0,0.152,1.0,DEV-95632,4112798148,VERIFIED,0
W00363,Temitope Okafor,Customer Support,REMOTE,180000,8394.37,2088.24,2837.39,22,16,6,0.727,19.018,0.115,1,0,0.142,0.017,0.782,0.074,19.671,DEV-17912,3170783579,VERIFIED,0
W00325,Sadiq Okafor,Operations Manager,ONSITE,450000,2278.83,1037.8,283.37,22,8,14,0.364,3.303,0.253,3,1,0.871,0.62,0.776,0.008,56.928,DEV-49092,8764985914,SUSPICIOUS,0
W00432,Tunde Eze,Security Officer,ONSITE,120000,4862.8,3284.04,2653.16,22,19,3,0.864,12.769,0.057,1,0,0.347,0.006,0.819,0.09,26.307,DEV-18770,4394133739,VERIFIED,0
W00348,Amina Adebayo,Accountant,HYBRID,280000,24084.23,13394.75,2001.02,22,17,5,0.773,14.791,0.104,2,0,0.498,0.178,0.825,0.141,12.797,DEV-11885,3622393399,VERIFIED,0
W00087,Ibrahim Abubakar,Engineer,HYBRID,320000,18667.59,5333.25,13759.16,22,13,9,0.591,13.004,0.206,0,0,0.606,0.056,0.795,0.118,21.763,DEV-32526,5401404968,VERIFIED,0
W00076,Ifeoma Ogunleye,Accountant,HYBRID,280000,17039.56,3190.85,10289.59,22,22,0,1.0,25.627,0.151,1,0,0.326,0.239,0.897,0.109,34.774,DEV-41891,1131713572,VERIFIED,0
W00439,Ibrahim Okonkwo,Operations Manager,ONSITE,450000,16706.9,10587.67,9155.43,22,16,6,0.727,17.731,0.103,1,0,0.4,0.038,0.966,0.081,14.004,DEV-68037,5785031025,VERIFIED,0
W00016,Tunde Usman,IT Admin,HYBRID,300000,13167.83,2705.21,3626.96,22,18,4,0.818,19.911,0.104,1,1,0.448,0.341,0.742,0.065,31.843,DEV-94419,4255245511,VERIFIED,0
W00250,Ibrahim Usman,Cleaner,ONSITE,90000,9368.93,1880.2,3330.87,22,18,4,0.818,30.0,0.144,0,0,0.285,0.068,0.902,0.162,4.735,DEV-87970,4774755763,VERIFIED,0
W00434,Kemi Balogun,Cleaner,ONSITE,90000,1418.34,470.66,271.0,22,19,3,0.864,27.366,0.129,0,0,0.508,0.022,0.635,0.024,21.347,DEV-50346,6493854382,VERIFIED,0
W00020,Amina Nwosu,Security Officer,ONSITE,120000,4798.11,2444.46,317.43,22,18,4,0.818,15.386,0.208,2,0,0.065,0.0,0.902,0.063,30.248,DEV-52637,1291360668,VERIFIED,0
W00323,Temitope Balogun,Accountant,HYBRID,280000,550.93,215.55,73.52,22,0,22,0.0,1.238,0.501,3,4,0.982,1.331,0.507,0.003,165.593,DEV-64330,7160764286,FLAGGED,1
W00333,Chukwuemeka Adebayo,Cleaner,ONSITE,90000,5219.95,1490.11,3009.94,22,15,7,0.682,14.195,0.177,1,1,0.522,0.03,0.826,0.108,1.0,DEV-41615,8546666648,VERIFIED,0
W00057,Ifeoma Usman,IT Admin,HYBRID,300000,14343.88,2658.86,8797.26,22,12,10,0.545,8.0,0.293,1,1,0.365,0.0,0.83,0.086,26.164,DEV-30559,4234773713,VERIFIED,0
W00302,Ifeoma Abubakar,Engineer,HYBRID,320000,21239.25,6030.09,6650.66,22,17,5,0.773,15.321,0.043,0,0,0.479,0.171,0.735,0.106,6.735,DEV-33723,2915877026,VERIFIED,0
W00230,Ifeoma Eze,Customer Support,REMOTE,180000,7070.13,1877.94,4191.93,22,16,6,0.727,22.367,0.12,0,1,0.525,0.199,0.57,0.073,30.141,DEV-48304,4841594600,VERIFIED,0
W00332,Tunde Okonkwo,Accountant,HYBRID,280000,15023.48,7682.78,533.74,22,15,7,0.682,24.619,0.173,1,0,0.793,0.259,0.967,0.083,1.0,DEV-59294,3034749474,VERIFIED,0
W00133,Efe Nwosu,Operations Manager,ONSITE,450000,22626.97,11130.48,11242.55,22,15,7,0.682,16.234,0.12,2,1,0.538,0.113,0.842,0.1,1.0,DEV-45625,9026555935,VERIFIED,0
W00138,Amina Abubakar,Operations Manager,ONSITE,450000,19280.72,9671.63,0.0,22,18,4,0.818,22.362,0.05,2,0,0.339,0.0,0.746,0.062,1.0,DEV-18572,2624039441,VERIFIED,0
W00424,Efe Etuk,Accountant,HYBRID,280000,17048.42,11684.47,5427.11,22,15,7,0.682,20.237,0.073,1,1,0.415,0.331,0.643,0.122,25.818,DEV-69594,4507111469,VERIFIED,0
W00336,Amina Okafor,Engineer,HYBRID,320000,21304.56,7529.68,10205.76,22,14,8,0.636,27.097,0.231,0,0,0.688,0.313,0.836,0.122,16.525,DEV-55801,0644852180,VERIFIED,0
W00026,Efe Ogunleye,Operations Manager,ONSITE,450000,29673.32,13573.21,11653.47,22,16,6,0.727,27.741,0.06,1,1,0.326,0.346,0.93,0.122,22.775,DEV-94018,9134380158,VERIFIED,0
W00465,Tunde Eze,Security Officer,ONSITE,120000,4939.97,2801.19,1138.84,22,13,9,0.591,4.116,0.144,0,1,0.539,0.507,0.684,0.074,142.698,DEV-84696,5425624794,SUSPICIOUS,0
W00282,Ifeoma Usman,Engineer,HYBRID,320000,18965.7,10605.09,9469.21,22,16,6,0.727,19.892,0.0,0,0,0.536,0.059,0.929,0.122,24.822,DEV-75598,2617718279,VERIFIED,0
W00248,Chukwuemeka Okafor,Customer Support,REMOTE,180000,2499.69,679.88,1680.43,22,15,7,0.682,8.0,0.0,2,0,0.163,0.202,0.771,0.027,47.391,DEV-63629,1129719500,VERIFIED,0
W00238,Tunde Balogun,Accountant,HYBRID,280000,21514.32,6991.24,11534.44,22,14,8,0.636,12.101,0.09,0,1,0.617,0.0,0.819,0.143,1.706,DEV-19391,5405674564,VERIFIED,0
W00118,Kemi Balogun,Accountant,HYBRID,280000,20813.69,11325.69,340.62,22,16,6,0.727,29.522,0.074,1,1,0.456,0.132,0.839,0.116,20.895,DEV-59676,2182145530,VERIFIED,0
W00043,Ibrahim Abubakar,Operations Manager,ONSITE,450000,37003.69,16617.64,13428.67,22,18,4,0.818,9.938,0.18,1,0,0.342,0.22,0.699,0.149,19.042,DEV-19767,6419461802,VERIFIED,0
W00221,Sadiq Usman,IT Admin,HYBRID,300000,24128.71,10790.49,12480.8,22,14,8,0.636,19.407,0.35,1,0,0.404,0.0,0.791,0.158,1.0,DEV-68196,5212789189,VERIFIED,0
W00177,Kemi Usman,Cleaner,ONSITE,90000,8359.75,1920.11,3040.14,22,16,6,0.727,19.283,0.004,0,0,0.57,0.062,0.663,0.148,38.326,DEV-25557,8048081060,VERIFIED,0
W00321,Amina Ogunleye,HR Officer,HYBRID,250000,8095.99,3792.75,5861.26,22,13,9,0.591,17.688,0.0,1,0,0.368,0.349,0.795,0.071,14.805,DEV-74414,5658610913,VERIFIED,0
W00154,Tunde Okafor,Operations Manager,ONSITE,450000,15462.47,6789.03,3398.5,22,9,13,0.409,5.083,0.396,3,1,0.789,0.296,0.8,0.057,69.289,DEV-18572,7687035339,SUSPICIOUS,0
W00232,Ngozi Okonkwo,HR Officer,HYBRID,250000,5407.22,1984.43,1608.35,22,1,21,0.045,3.513,0.426,2,3,0.907,1.339,0.0,0.036,292.832,DEV-64330,3300306128,FLAGGED,1
W00228,Efe Nwosu,Cleaner,ONSITE,90000,3436.96,1297.9,1475.14,22,14,8,0.636,9.082,0.05,0,0,0.189,0.07,0.805,0.069,3.09,DEV-14760,3253337692,VERIFIED,0
W00418,Kemi Abubakar,IT Admin,HYBRID,300000,0.0,0.0,0.0,22,12,10,0.545,7.557,0.22,2,0,0.735,0.442,0.702,0.0,53.456,DEV-77503,3154864818,SUSPICIOUS,0
